Method,Reaction,True_Flux,Pred_Flux,Abs_Error,Rel_Error,Norm_Error,Bias_Ratio,Color
FluxAnchor,PGI,4.695625757,6.35,1.654374243,0.352322423,0.0023667258407721603,1.2904640005475696,#9d7eb8
FluxAnchor,PGI_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,PFK,5.224604289,3.444559163,1.780045126,0.340704296,0.1383682344980518,0.7140307972435033,#9f81b9
FluxAnchor,FBP,0.016247194,0.0,0.016247194,1.0,0.000847427586762789,0.9840125570865783,#825ca6
FluxAnchor,FBA,5.208357096,3.444559163,1.763797933,0.338647658,0.13752080696344743,0.7158994069241922,#9f80b9
FluxAnchor,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TPI,1.832697068,5.855140818,4.02244375,2.194821949,0.13242158519585173,2.420004911728881,#c7b1d4
FluxAnchor,G6PDH2r,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,GND,0.174508416,0.0,0.174508416,1.0,0.009102079155371498,0.8514200378450075,#855fa8
FluxAnchor,RPE,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPE_reverse,0.251157409,0.379537535,0.128380126,0.511154047,0.0016800628113452926,1.1026090922505178,#845ea7
FluxAnchor,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPI_reverse,0.409194847,0.360070276,0.049124571,0.120051783,0.0073210146381762695,0.9651399725846429,#835da7
FluxAnchor,TKT1,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TKT1_reverse,0.049629137,0.096515785,0.046886648,0.944740337,0.0011699617986439359,1.044669727951731,#835da7
FluxAnchor,TKT2,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TKT2_reverse,0.201528272,0.28302175,0.081493478,0.404377399,0.000510101012701358,1.0678248526473293,#835da7
FluxAnchor,TALA,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TALA_reverse,0.050266107,0.096515785,0.046249678,0.920096688,0.0011367384648214747,1.0440361520682684,#825ca6
FluxAnchor,EDD,0.52370334,0.0,0.52370334,1.0,0.02731552645926505,0.6562957327375813,#8a67ac
FluxAnchor,EDA,0.52370334,0.0,0.52370334,1.0,0.02731552645926505,0.6562957327375813,#8a67ac
FluxAnchor,GAPD,7.345134359,11.52278366,4.177649298,0.568764177,0.06561223517381598,1.5006089921721297,#cab5d6
FluxAnchor,PGK_reverse,7.345134359,11.52278366,4.177649298,0.568764177,0.06561223517381598,1.5006089921721297,#cab5d6
FluxAnchor,PGM_reverse,6.504632486,10.68246336,4.177830879,0.642285462,0.07672753521992942,1.5567002623771122,#cab5d6
FluxAnchor,ENO,6.517420182,10.68246336,4.165043182,0.639063167,0.07606054950156249,1.5540521983822242,#c9b4d5
FluxAnchor,PYK,1.016368363,0.0,1.016368363,1.0,0.053012144073563486,0.4959411277967964,#9271b1
FluxAnchor,PDH,8.123372961,7.388980137,0.734392824,0.090404913,0.13595888887139723,0.9195042417821421,#8e6bae
FluxAnchor,CS,1.864637075,1.218783001,0.645854074,0.346369855,0.04979437586418951,0.774542443914994,#8c69ad
FluxAnchor,ACONTa,1.858279001,1.218783001,0.639496,0.34413347,0.04946274891948267,0.7762653681546605,#8c69ad
FluxAnchor,ACONTb,1.858279001,1.218783001,0.639496,0.34413347,0.04946274891948267,0.7762653681546605,#8c69ad
FluxAnchor,ICDHyr,1.128498485,1.218783001,0.090284516,0.080004109,0.011398567403561648,1.0424169980088103,#835da7
FluxAnchor,AKGDH,0.638321807,0.692930296,0.05460849,0.085550093,0.006309604541868012,1.0333319673623804,#835da7
FluxAnchor,SUCOAS,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,SUCOAS_reverse,0.605609684,0.436232841,0.169376843,0.279679878,0.014599758956718889,0.8945093289559407,#855fa8
FluxAnchor,SUCDi,1.667070399,0.855042032,0.812028367,0.487099026,0.05365449217993185,0.6955354581924554,#8f6daf
FluxAnchor,FUM,1.931696529,1.202962307,0.728734222,0.377250883,0.053908182249520153,0.7514291759766244,#8e6bae
FluxAnchor,MDH,2.520967301,1.20249426,1.318473042,0.523002833,0.08466182760966709,0.6255366982176923,#9777b4
FluxAnchor,PPCK,0.277459044,0.0,0.277459044,1.0,0.01447181883114281,0.7828039612673485,#8661a9
FluxAnchor,PPC,0.852685463,1.447356758,0.594671295,0.697409914,0.011888564892083571,1.3209780110419098,#8b68ac
FluxAnchor,ME1,0.000217836,0.0,0.000217836,1.0,1.136197646129288e-05,0.9997822114421883,#825ca6
FluxAnchor,ME2,0.104522832,0.0,0.104522832,1.0,0.005451743315391717,0.9053683373744872,#845ea7
FluxAnchor,ICL,0.729780516,0.0,0.729780516,1.0,0.038064181515921024,0.5781080262786357,#8e6bae
FluxAnchor,MALS,0.733197547,0.000327193,0.732870354,0.999553745,0.03822966675505136,0.5771570556001946,#8e6bae
KinLLM,PGI,4.695625757,6.35,1.654374243,0.352322423,0.006941728162061511,1.2904640005475696,#9d7eb8
KinLLM,PGI_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,PFK,5.224604289,5.924250467,0.699646178,0.133913717,0.05048792255784848,1.112400105374795,#8d6aad
KinLLM,FBP,0.016247194,0.0,0.016247194,1.0,0.000847427586762789,0.9840125570865783,#825ca6
KinLLM,FBA,5.208357096,5.924250467,0.715893371,0.1374509,0.04964049502324411,1.1153112425606517,#8d6bae
KinLLM,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,TPI,1.832697068,5.855140818,4.02244375,2.194821949,0.12383854441089631,2.420004911728881,#c7b1d4
KinLLM,G6PDH2r,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,GND,0.174508416,3.95e-15,0.174508416,1.0,0.00910207915537135,0.851420037845011,#855fa8
KinLLM,RPE,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,RPE_reverse,0.251157409,0.379537535,0.128380126,0.511154047,0.0011236993960860205,1.1026090922505178,#845ea7
KinLLM,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,RPI_reverse,0.409194847,0.360070276,0.049124571,0.120051783,0.007848841032181565,0.9651399725846429,#835da7
KinLLM,TKT1,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,TKT1_reverse,0.049629137,0.096515785,0.046886648,0.944740337,0.0010284794765620638,1.044669727951731,#835da7
KinLLM,TKT2,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,TKT2_reverse,0.201528272,0.28302175,0.081493478,0.404377399,9.521991952395753e-05,1.0678248526473293,#835da7
KinLLM,TALA,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
